ACST,Power
2017-01-13 15:57:00+08:00,2508.17967008
2017-01-13 16:07:00+08:00,2429.12529696
2017-01-13 16:17:00+08:00,2364.4444451199997
2017-01-13 16:27:00+08:00,2263.8297870399997
2017-01-13 16:37:00+08:00,2170.40189264
2017-01-13 16:47:00+08:00,2084.1607558399996
2017-01-13 16:57:00+08:00,1983.5461008000002
2017-01-13 17:07:00+08:00,1854.1843971199999
2017-01-13 17:17:00+08:00,1724.8226964800003
2017-01-13 17:27:00+08:00,1365.48463408
2017-01-13 17:37:00+08:00,862.41134672
2017-01-13 17:47:00+08:00,740.23640672
2017-01-13 17:57:00+08:00,359.3380624
2017-01-14 07:07:00+08:00,114.98817936
2017-01-14 07:17:00+08:00,122.17493999999999
2017-01-14 07:27:00+08:00,129.36170063999998
2017-01-14 07:37:00+08:00,179.6690312
2017-01-14 07:47:00+08:00,251.53664368
2017-01-14 07:57:00+08:00,352.15129872
2017-01-14 08:07:00+08:00,481.5130024
2017-01-14 08:17:00+08:00,610.8747030400001
2017-01-14 08:27:00+08:00,754.609928
2017-01-14 08:37:00+08:00,883.9716316800001
2017-01-14 08:47:00+08:00,1027.70685664
2017-01-14 08:57:00+08:00,1164.25531792
2017-01-14 09:07:00+08:00,1307.99054288
2017-01-14 09:17:00+08:00,1444.5390072
2017-01-14 09:27:00+08:00,1559.52718656
2017-01-14 09:37:00+08:00,1667.3286052800001
2017-01-14 09:47:00+08:00,1775.130024
2017-01-14 09:57:00+08:00,1882.9314427199997
2017-01-14 10:07:00+08:00,1976.35933712
2017-01-14 10:17:00+08:00,2062.6004739200002
2017-01-14 10:27:00+08:00,2156.02836832
2017-01-14 10:37:00+08:00,2213.52245952
2017-01-14 10:47:00+08:00,2285.390072
2017-01-14 10:57:00+08:00,2342.88416016
2017-01-14 11:07:00+08:00,2421.93853328
2017-01-14 11:17:00+08:00,2493.80614576
2017-01-14 11:27:00+08:00,2529.739952
2017-01-14 11:37:00+08:00,2536.92671264
2017-01-14 11:47:00+08:00,2580.04728256
2017-01-14 11:57:00+08:00,2615.9810888
2017-01-14 12:07:00+08:00,2651.91489504
2017-01-14 12:17:00+08:00,2680.6619376000003
2017-01-14 12:27:00+08:00,2673.47517696
2017-01-14 12:37:00+08:00,2709.4089832
2017-01-14 12:47:00+08:00,2738.1560288
2017-01-14 12:57:00+08:00,2745.3427894399997
2017-01-14 13:07:00+08:00,2745.3427894399997
2017-01-14 13:17:00+08:00,2752.5295500800003
2017-01-14 13:27:00+08:00,2766.9030744
