ACST,Power,Temperature,Relative Humidity,Cloud Cover,Shortwave Radiation,Wind Speed,Wind Direction,ghi
2017-10-19 11:17:00+08:00,2759.71631072,21.009535,37,12.3,857.9599599999999,15.184799,89.99999,959.4209137129425
2017-10-19 11:27:00+08:00,2738.1560288,21.009535,37,12.3,857.9599599999999,15.184799,89.99999,959.4209137129425
2017-10-19 11:37:00+08:00,2810.02364128,21.009535,37,12.3,857.9599599999999,15.184799,89.99999,959.4209137129425
2017-10-19 11:47:00+08:00,2831.5839232,21.009535,37,12.3,857.9599599999999,15.184799,89.99999,959.4209137129425
2017-10-19 11:57:00+08:00,2860.3309688,21.009535,37,12.3,857.9599599999999,15.184799,89.99999,959.4209137129425
2017-10-19 12:07:00+08:00,2896.2647750399997,22.559534,33,12.0,914.92,13.586398999999998,89.99999,995.0218662938393
2017-10-19 12:17:00+08:00,2917.8250599999997,22.559534,33,12.0,914.92,13.586398999999998,89.99999,995.0218662938393
2017-10-19 12:27:00+08:00,2939.38534192,22.559534,33,12.0,914.92,13.586398999999998,89.99999,995.0218662938393
2017-10-19 12:37:00+08:00,2996.8794331199997,22.559534,33,12.0,914.92,13.586398999999998,89.99999,995.0218662938393
2017-10-19 12:47:00+08:00,2587.2340432,22.559534,33,12.0,914.92,13.586398999999998,89.99999,995.0218662938393
2017-10-19 12:57:00+08:00,2766.9030744,22.559534,33,12.0,914.92,13.586398999999998,89.99999,995.0218662938393
2017-10-19 13:07:00+08:00,2881.89125376,23.799534,31,9.900001,917.5899699999999,13.078042,93.50353,962.6809928431153
2017-10-19 13:17:00+08:00,3126.2411337600006,23.799534,31,9.900001,917.5899699999999,13.078042,93.50353,962.6809928431153
2017-10-19 13:27:00+08:00,3083.12056688,23.799534,31,9.900001,917.5899699999999,13.078042,93.50353,962.6809928431153
2017-10-19 13:37:00+08:00,1947.61229456,23.799534,31,9.900001,917.5899699999999,13.078042,93.50353,962.6809928431153
2017-10-19 13:47:00+08:00,2953.75886624,23.799534,31,9.900001,917.5899699999999,13.078042,93.50353,962.6809928431153
2017-10-19 13:57:00+08:00,2666.2884163199997,23.799534,31,9.900001,917.5899699999999,13.078042,93.50353,962.6809928431153
2017-10-19 14:07:00+08:00,2695.03546192,24.729534,29,25.0,863.3,12.658905,98.47114599999999,864.70448671085
2017-10-19 14:17:00+08:00,2766.9030744,24.729534,29,25.0,863.3,12.658905,98.47114599999999,864.70448671085
2017-10-19 14:27:00+08:00,2881.89125376,24.729534,29,25.0,863.3,12.658905,98.47114599999999,864.70448671085
2017-10-19 14:37:00+08:00,2802.83688064,24.729534,29,25.0,863.3,12.658905,98.47114599999999,864.70448671085
2017-10-19 14:47:00+08:00,2788.46335632,24.729534,29,25.0,863.3,12.658905,98.47114599999999,864.70448671085
2017-10-19 14:57:00+08:00,2788.46335632,24.729534,29,25.0,863.3,12.658905,98.47114599999999,864.70448671085
2017-10-19 15:07:00+08:00,2544.11347632,25.399534,29,39.0,754.72,12.540622,102.26477,708.1194281922128
2017-10-19 15:17:00+08:00,1796.6903059199997,25.399534,29,39.0,754.72,12.540622,102.26477,708.1194281922128
2017-10-19 15:27:00+08:00,1775.130024,25.399534,29,39.0,754.72,12.540622,102.26477,708.1194281922128
2017-10-19 15:37:00+08:00,2242.26950208,25.399534,29,39.0,754.72,12.540622,102.26477,708.1194281922128
2017-10-19 15:47:00+08:00,2486.61938512,25.399534,29,39.0,754.72,12.540622,102.26477,708.1194281922128
2017-10-19 15:57:00+08:00,2335.69739952,25.399534,29,39.0,754.72,12.540622,102.26477,708.1194281922128
2017-10-19 16:07:00+08:00,2235.08274144,25.699535,28,20.0,601.64,12.540622,102.26477,504.541497325445
2017-10-19 16:17:00+08:00,2127.28132272,25.699535,28,20.0,601.64,12.540622,102.26477,504.541497325445
2017-10-19 16:27:00+08:00,2019.4799039999998,25.699535,28,20.0,601.64,12.540622,102.26477,504.541497325445
2017-10-19 16:37:00+08:00,1904.4917246399998,25.699535,28,20.0,601.64,12.540622,102.26477,504.541497325445
2017-10-19 16:47:00+08:00,1631.3947990400002,25.699535,28,20.0,601.64,12.540622,102.26477,504.541497325445
2017-10-19 16:57:00+08:00,1387.044916,25.699535,28,20.0,601.64,12.540622,102.26477,504.541497325445
2017-10-19 17:07:00+08:00,1566.7139472000001,25.559534,28,2.0,413.85,12.082348,104.03624,271.08368950732824
2017-10-19 17:17:00+08:00,1408.6052009599998,25.559534,28,2.0,413.85,12.082348,104.03624,271.08368950732824
2017-10-19 17:27:00+08:00,1257.6832153599998,25.559534,28,2.0,413.85,12.082348,104.03624,271.08368950732824
2017-10-19 17:37:00+08:00,1020.5200960000001,25.559534,28,2.0,413.85,12.082348,104.03624,271.08368950732824
2017-10-19 17:47:00+08:00,582.12766048,25.559534,28,2.0,413.85,12.082348,104.03624,271.08368950732824
2017-10-19 17:57:00+08:00,510.26004800000004,25.559534,28,2.0,413.85,12.082348,104.03624,271.08368950732824
2017-10-20 07:07:00+08:00,107.80141871999999,15.439534,45,0.0,180.67,16.2853,86.24826,263.1960044235024
2017-10-20 07:17:00+08:00,100.61465808000001,15.439534,45,0.0,180.67,16.2853,86.24826,263.1960044235024
2017-10-20 07:27:00+08:00,136.54846432,15.439534,45,0.0,180.67,16.2853,86.24826,263.1960044235024
2017-10-20 07:37:00+08:00,194.04255247999998,15.439534,45,0.0,180.67,16.2853,86.24826,263.1960044235024
2017-10-20 07:47:00+08:00,294.65721056,15.439534,45,0.0,180.67,16.2853,86.24826,263.1960044235024
2017-10-20 07:57:00+08:00,409.64538992000007,15.439534,45,0.0,180.67,16.2853,86.24826,263.1960044235024
2017-10-20 08:07:00+08:00,546.1938542400001,17.769535,42,0.0,396.94,18.657510000000002,80.134186,497.7085651173896
2017-10-20 08:17:00+08:00,689.9290791999999,17.769535,42,0.0,396.94,18.657510000000002,80.134186,497.7085651173896
2017-10-20 08:27:00+08:00,840.8510648,17.769535,42,0.0,396.94,18.657510000000002,80.134186,497.7085651173896
2017-10-20 08:37:00+08:00,984.5862897599999,17.769535,42,0.0,396.94,18.657510000000002,80.134186,497.7085651173896
2017-10-20 08:47:00+08:00,1142.695036,17.769535,42,0.0,396.94,18.657510000000002,80.134186,497.7085651173896
2017-10-20 08:57:00+08:00,1279.24350032,17.769535,42,0.0,396.94,18.657510000000002,80.134186,497.7085651173896
2017-10-20 09:07:00+08:00,1422.97872224,21.099535,36,0.0,596.3,20.978048,72.255325,703.1669112113532
2017-10-20 09:17:00+08:00,1552.3404259199997,21.099535,36,0.0,596.3,20.978048,72.255325,703.1669112113532
2017-10-20 09:27:00+08:00,1688.8888902400001,21.099535,36,0.0,596.3,20.978048,72.255325,703.1669112113532
2017-10-20 09:37:00+08:00,1803.8770696,21.099535,36,0.0,596.3,20.978048,72.255325,703.1669112113532
2017-10-20 09:47:00+08:00,1911.67848832,21.099535,36,0.0,596.3,20.978048,72.255325,703.1669112113532
2017-10-20 09:57:00+08:00,2012.2931433600002,21.099535,36,0.0,596.3,20.978048,72.255325,703.1669112113532
2017-10-20 10:07:00+08:00,2098.53428016,23.689535,33,0.0,761.83997,19.801605,70.346176,862.1890782643303
2017-10-20 10:17:00+08:00,2191.96217456,23.689535,33,0.0,761.83997,19.801605,70.346176,862.1890782643303
2017-10-20 10:27:00+08:00,2299.7635932800004,23.689535,33,0.0,761.83997,19.801605,70.346176,862.1890782643303
2017-10-20 10:37:00+08:00,2371.6312057600003,23.689535,33,0.0,761.83997,19.801605,70.346176,862.1890782643303
2017-10-20 10:47:00+08:00,2450.6855788800003,23.689535,33,0.0,761.83997,19.801605,70.346176,862.1890782643303
2017-10-20 10:57:00+08:00,2508.17967008,23.689535,33,0.0,761.83997,19.801605,70.346176,862.1890782643303
2017-10-20 11:07:00+08:00,2572.86051888,26.049534,29,0.0,879.32,17.86271,72.64596999999999,962.9899771302174
2017-10-20 11:17:00+08:00,2623.16784944,26.049534,29,0.0,879.32,17.86271,72.64596999999999,962.9899771302174
2017-10-20 11:27:00+08:00,2644.72813136,26.049534,29,0.0,879.32,17.86271,72.64596999999999,962.9899771302174
2017-10-20 11:37:00+08:00,2702.2222225600003,26.049534,29,0.0,879.32,17.86271,72.64596999999999,962.9899771302174
2017-10-20 11:47:00+08:00,2759.71631072,26.049534,29,0.0,879.32,17.86271,72.64596999999999,962.9899771302174
2017-10-20 11:57:00+08:00,2831.5839232,26.049534,29,0.0,879.32,17.86271,72.64596999999999,962.9899771302174
2017-10-20 12:07:00+08:00,2853.1442081600003,27.769534999999998,26,0.0,940.73,16.354876,77.77486999999999,998.37142693222
2017-10-20 12:17:00+08:00,2867.51772944,27.769534999999998,26,0.0,940.73,16.354876,77.77486999999999,998.37142693222
2017-10-20 12:27:00+08:00,2896.2647750399997,27.769534999999998,26,0.0,940.73,16.354876,77.77486999999999,998.37142693222
2017-10-20 12:37:00+08:00,2910.63829936,27.769534999999998,26,0.0,940.73,16.354876,77.77486999999999,998.37142693222
2017-10-20 12:47:00+08:00,2925.0118206399998,27.769534999999998,26,0.0,940.73,16.354876,77.77486999999999,998.37142693222
2017-10-20 12:57:00+08:00,2939.38534192,27.769534999999998,26,0.0,940.73,16.354876,77.77486999999999,998.37142693222
2017-10-20 13:07:00+08:00,2939.38534192,28.859534999999997,23,0.0,941.62,14.770192000000002,82.7468,965.847177691675
2017-10-20 13:17:00+08:00,2910.63829936,28.859534999999997,23,0.0,941.62,14.770192000000002,82.7468,965.847177691675
2017-10-20 13:27:00+08:00,2910.63829936,28.859534999999997,23,0.0,941.62,14.770192000000002,82.7468,965.847177691675
2017-10-20 13:37:00+08:00,2903.45153568,28.859534999999997,23,0.0,941.62,14.770192000000002,82.7468,965.847177691675
2017-10-20 13:47:00+08:00,2932.1985812800003,28.859534999999997,23,0.0,941.62,14.770192000000002,82.7468,965.847177691675
2017-10-20 13:57:00+08:00,2910.63829936,28.859534999999997,23,0.0,941.62,14.770192000000002,82.7468,965.847177691675
2017-10-20 14:07:00+08:00,2889.0780144,29.509534999999996,22,0.0,881.99,14.141801000000001,86.7603,867.7356877110443
2017-10-20 14:17:00+08:00,2810.02364128,29.509534999999996,22,0.0,881.99,14.141801000000001,86.7603,867.7356877110443
2017-10-20 14:27:00+08:00,2774.08983504,29.509534999999996,22,0.0,881.99,14.141801000000001,86.7603,867.7356877110443
2017-10-20 14:37:00+08:00,2730.96926816,29.509534999999996,22,0.0,881.99,14.141801000000001,86.7603,867.7356877110443
2017-10-20 14:47:00+08:00,2666.2884163199997,29.509534999999996,22,0.0,881.99,14.141801000000001,86.7603,867.7356877110443
2017-10-20 14:57:00+08:00,2644.72813136,29.509534999999996,22,0.0,881.99,14.141801000000001,86.7603,867.7356877110443
2017-10-20 15:07:00+08:00,2544.11347632,29.949534999999997,21,0.0,766.29,13.852799,89.99999,711.0706073582653
2017-10-20 15:17:00+08:00,2450.6855788800003,29.949534999999997,21,0.0,766.29,13.852799,89.99999,711.0706073582653
2017-10-20 15:27:00+08:00,2393.19149072,29.949534999999997,21,0.0,766.29,13.852799,89.99999,711.0706073582653
2017-10-20 15:37:00+08:00,2335.69739952,29.949534999999997,21,0.0,766.29,13.852799,89.99999,711.0706073582653
2017-10-20 15:47:00+08:00,2263.8297870399997,29.949534999999997,21,0.0,766.29,13.852799,89.99999,711.0706073582653
2017-10-20 15:57:00+08:00,2191.96217456,29.949534999999997,21,0.0,766.29,13.852799,89.99999,711.0706073582653
2017-10-20 16:07:00+08:00,2062.6004739200002,29.999534999999998,20,0.0,604.31,13.863041,92.2026,507.4629471685063
2017-10-20 16:17:00+08:00,1983.5461008000002,29.999534999999998,20,0.0,604.31,13.863041,92.2026,507.4629471685063
2017-10-20 16:27:00+08:00,1911.67848832,29.999534999999998,20,0.0,604.31,13.863041,92.2026,507.4629471685063
